0,Unet_deep,rmsprop,0.08875416711887454,0.30000000000000004,0.007810257953465433,relu,dice_loss,0.8,7.918399333953857
1,Unet_deeper,rmsprop,3.389146074529193e-05,0.4,0.005026629629932021,relu,dice_loss,0.30000000000000004,9.1370849609375
2,Unet_simple,adam,0.00512575576449762,0.4,0.001122992891244829,relu,binary_crossentropy,0.8,1.086084008216858
3,Unet_deep,adam,2.936375088851854e-05,0.2,0.009543371032535787,leaky_relu,dice_loss,0.0,15.283388137817383
4,Unet,rmsprop,1.8381080796722735e-05,0.1,0.03033441902440846,relu,dice_loss,0.2,60.638607025146484
5,Unet_simple,sgd,0.056457859372261374,0.1,0.05562957156733023,relu,dice_loss,0.1,0.9864203929901123
6,Unet,rmsprop,1.377208921012333e-05,0.35,0.00024488255481067253,relu,dice_loss,0.4,1.6288670301437378
7,Unet_wide,rmsprop,0.00014967317138678192,0.25,0.007014065665903211,relu,dice_loss,0.9,1.7980316877365112
8,Unet_deep,rmsprop,1.682430471808451e-05,0.35,0.00034907111511172766,leaky_relu,dice_loss,0.5,1.8672770261764526
9,Unet_deep,sgd,0.00010835786639927125,0.15000000000000002,0.005470800760974648,relu,binary_crossentropy,0.8,15.521769523620605
10,Unet_simple,sgd,0.0915626899936354,0.1,2.3047452248900138e-05,leaky_relu,binary_crossentropy,0.0,0.23388507962226868
11,Unet_simple,sgd,0.07289810092336739,0.1,1.0400118053601002e-05,leaky_relu,binary_crossentropy,0.0,0.20230905711650848
12,Unet_simple,sgd,0.007964074789928327,0.15000000000000002,1.3229480833754106e-05,leaky_relu,binary_crossentropy,0.0,0.2139233946800232
13,Unet_simple,sgd,0.011025064398376692,0.2,1.0686115359393896e-05,leaky_relu,binary_crossentropy,0.2,0.20953810214996338
14,Unet_simple,sgd,0.01342118206222576,0.2,4.307319688280594e-05,leaky_relu,binary_crossentropy,0.2,0.304655522108078
15,Unet_deeper,sgd,0.0018276397464711326,0.2,6.982559888301938e-05,leaky_relu,binary_crossentropy,0.5,0.4020589292049408
16,Unet_wide,sgd,0.02814888432733054,0.15000000000000002,0.00011769420356692483,leaky_relu,binary_crossentropy,0.2,0.5110796689987183
17,Unet_simple,sgd,0.0018510497661119662,0.25,1.0127823001294208e-05,leaky_relu,binary_crossentropy,0.4,0.21044214069843292
18,Unet_simple,adam,0.024853964928172982,0.15000000000000002,3.276029490633135e-05,leaky_relu,binary_crossentropy,0.1,120598277652480.0
19,Unet_simple,sgd,0.00046654929979723496,0.30000000000000004,0.001264067200281582,leaky_relu,binary_crossentropy,0.30000000000000004,3.749748706817627
