number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,0.19711236655712128,2024-09-27 09:02:01.372274,2024-09-27 09:07:45.182433,0 days 00:05:43.810159,leaky_relu,0.35,1.8671144526640467e-05,0.002093068798583295,binary_crossentropy,Unet_deeper,0.4,sgd,COMPLETE
1,0.1255454421043396,2024-09-27 09:07:45.183040,2024-09-27 09:13:09.933138,0 days 00:05:24.750098,leaky_relu,0.1,0.03745795961816239,0.0020706908934388416,dice_loss,Unet_deep,0.5,rmsprop,COMPLETE
2,0.8918754458427429,2024-09-27 09:13:09.933688,2024-09-27 09:14:50.995869,0 days 00:01:41.062181,leaky_relu,0.15000000000000002,6.63397979949854e-05,0.09426580826539678,dice_loss,Unet_wide,0.0,adam,COMPLETE
3,0.7127790451049805,2024-09-27 09:14:50.996430,2024-09-27 09:19:36.682499,0 days 00:04:45.686069,leaky_relu,0.1,0.000276084762256895,0.08569911714299837,dice_loss,Unet_deeper,0.6000000000000001,sgd,COMPLETE
4,5.1750807762146,2024-09-27 09:19:36.683047,2024-09-27 09:24:25.215408,0 days 00:04:48.532361,relu,0.1,0.0016740826652542223,0.0003630629368877785,binary_crossentropy,Unet_wide,0.2,sgd,COMPLETE
5,110.41516876220703,2024-09-27 09:24:25.215969,2024-09-27 09:29:14.802740,0 days 00:04:49.586771,leaky_relu,0.35,0.04076683492005937,0.0003169880094234645,binary_crossentropy,Unet_wide,0.30000000000000004,sgd,COMPLETE
6,1.0444949865341187,2024-09-27 09:29:14.803298,2024-09-27 09:34:03.501085,0 days 00:04:48.697787,leaky_relu,0.35,0.0006435775033302889,0.0001396774682600123,dice_loss,Unet_deep,0.2,rmsprop,COMPLETE
7,7.954901218414307,2024-09-27 09:34:03.501659,2024-09-27 09:39:12.706740,0 days 00:05:09.205081,relu,0.35,0.0027743167751243785,1.017134054850835e-05,dice_loss,Unet_deeper,0.2,rmsprop,COMPLETE
8,0.8758311867713928,2024-09-27 09:39:12.707310,2024-09-27 09:44:02.384755,0 days 00:04:49.677445,relu,0.15000000000000002,4.50662869918047e-05,0.0874745068038455,dice_loss,Unet_simple,0.30000000000000004,rmsprop,COMPLETE
9,29269080.0,2024-09-27 09:44:02.385320,2024-09-27 09:45:33.332425,0 days 00:01:30.947105,leaky_relu,0.30000000000000004,0.0020706488609787497,0.008059664449950925,binary_crossentropy,Unet_wide,0.1,adam,COMPLETE
10,0.1742682009935379,2024-09-27 09:45:33.332980,2024-09-27 09:50:21.931011,0 days 00:04:48.598031,relu,0.2,0.08834847484601219,0.007093232164674201,dice_loss,Unet_deep,0.9,rmsprop,COMPLETE
11,0.12350420653820038,2024-09-27 09:50:21.931579,2024-09-27 09:55:11.442362,0 days 00:04:49.510783,relu,0.2,0.04870992500629794,0.006745076849767048,dice_loss,Unet_deep,0.9,rmsprop,COMPLETE
12,0.06824096292257309,2024-09-27 09:55:11.442913,2024-09-27 09:59:57.663854,0 days 00:04:46.220941,relu,0.25,0.01805660494814726,0.006986778412677947,dice_loss,Unet,0.7000000000000001,rmsprop,COMPLETE
13,0.040258727967739105,2024-09-27 09:59:57.664416,2024-09-27 10:04:46.291953,0 days 00:04:48.627537,relu,0.25,0.007896553709393505,0.014010881042543496,dice_loss,Unet,0.9,rmsprop,COMPLETE
14,0.875847339630127,2024-09-27 10:04:46.292515,2024-09-27 10:09:24.515214,0 days 00:04:38.222699,relu,0.25,0.00771262385444377,0.027298915501369793,dice_loss,Unet,0.7000000000000001,rmsprop,COMPLETE
15,0.049051664769649506,2024-09-27 10:09:24.515787,2024-09-27 10:13:50.992412,0 days 00:04:26.476625,relu,0.25,0.010722226810435534,0.014138258600481686,dice_loss,Unet,0.7000000000000001,rmsprop,COMPLETE
16,0.03268175944685936,2024-09-27 10:13:50.992989,2024-09-27 10:18:24.984137,0 days 00:04:33.991148,relu,0.30000000000000004,0.006363408859408438,0.016055864997377566,dice_loss,Unet,0.8,adam,COMPLETE
17,0.8781580924987793,2024-09-27 10:18:24.984712,2024-09-27 10:20:15.809680,0 days 00:01:50.824968,relu,0.4,0.004684860957271337,0.026250816011071244,dice_loss,Unet,0.8,adam,COMPLETE
18,0.045795001089572906,2024-09-27 10:20:15.810257,2024-09-27 10:24:40.224859,0 days 00:04:24.414602,relu,0.30000000000000004,0.0005857716188377117,0.0017884893611513262,binary_crossentropy,Unet,0.9,adam,COMPLETE
19,0.5924649834632874,2024-09-27 10:24:40.225435,2024-09-27 10:29:25.590702,0 days 00:04:45.365267,relu,0.30000000000000004,0.0001659600307077972,1.329876012764165e-05,dice_loss,Unet_simple,0.8,adam,COMPLETE
