number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_optimizer,state
0,0.9231656789779663,2024-08-27 11:14:42.969933,2024-08-27 11:18:32.661922,0 days 00:03:49.691989,leaky_relu,0.13433461610566916,0.07566471374436524,0.05123337553773901,dice_loss,Unet,adam,COMPLETE
1,1.582302451133728,2024-08-27 11:18:32.662520,2024-08-27 11:35:25.626955,0 days 00:16:52.964435,leaky_relu,0.14380862703656191,0.0004950092695972639,0.0033922581073433248,binary_crossentropy,Unet_deeper,sgd,COMPLETE
2,0.9231659173965454,2024-08-27 11:35:25.627506,2024-08-27 11:38:30.554822,0 days 00:03:04.927316,leaky_relu,0.11444747208648447,0.025476023344126693,0.029089026450833635,dice_loss,Unet_deeper,adam,COMPLETE
3,0.9231933951377869,2024-08-27 11:38:30.555348,2024-08-27 11:54:04.287889,0 days 00:15:33.732541,leaky_relu,0.12054957358735596,0.0030449796465369353,0.0005149295526359979,dice_loss,Unet,rmsprop,COMPLETE
4,0.5640836954116821,2024-08-27 11:54:04.289818,2024-08-27 11:57:35.491821,0 days 00:03:31.202003,leaky_relu,0.22677524444508904,0.00013151619169571183,0.006797992717923039,binary_crossentropy,Unet,sgd,COMPLETE
5,0.8345902562141418,2024-08-27 11:57:35.492368,2024-08-27 12:01:11.488497,0 days 00:03:35.996129,relu,0.23710775266218462,0.00013236498092621213,0.0009297322737172685,dice_loss,Unet_shallow,adam,COMPLETE
