trial_number,model_name,optimizer_name,learning_rate,dropout_rate,l2_lambda,activation_function,loss_function,momentum,best_val_loss
0,Unet_shallow,adam,0.0229936884336771,0.2,9.21669057903652E-05,leaky_relu,binary_crossentropy,0.2,11628996
1,Unet_wide,rmsprop,0.00157407997721135,0.35,0.000409148653646832,leaky_relu,dice_loss,0.9,1.08810472488403
2,Unet_wide,sgd,0.000213122874876558,0.35,0.0155005832706452,leaky_relu,dice_loss,0.9,88.6470489501953
3,Unet,rmsprop,0.000503240761360199,0.4,0.0628719076799159,leaky_relu,binary_crossentropy,0.8,1.74016523361206
4,Unet_wide,rmsprop,0.000625272318169693,0.2,9.40856490371518E-05,leaky_relu,dice_loss,0,1.25498569011688
5,Unet_wide,adam,0.000302835930356665,0.1,1.10535021234265E-05,leaky_relu,dice_loss,0.8,0.935752987861633
6,Unet_shallow,sgd,0.0565640260277472,0.15,0.00534475600498483,relu,dice_loss,0.4,5.28035163879395
7,Unet_simple,rmsprop,0.0420953933779944,0.1,0.000686140022064436,relu,dice_loss,0.1,0.923170566558838
8,Unet_simple,rmsprop,0.000282585097617085,0.3,0.00360597858948573,leaky_relu,binary_crossentropy,0,1.13220512866974
9,Unet_wide,rmsprop,0.000376906919158002,0.25,1.25278265564834E-05,relu,dice_loss,0.1,0.900637149810791
10,Unet_deeper,adam,1.39708381209798E-05,0.25,1.35670821483754E-05,relu,binary_crossentropy,0.4,0.242231875658035
11,Unet_deeper,adam,1.47255027827126E-05,0.25,1.17775034326813E-05,relu,binary_crossentropy,0.4,0.528638303279877
12,Unet_deeper,adam,1.38299982879955E-05,0.25,6.93429783894633E-05,relu,binary_crossentropy,0.5,0.573221981525421
13,Unet_deeper,adam,1.40914936299754E-05,0.3,3.38896881616356E-05,relu,binary_crossentropy,0.5,0.305167019367218
14,Unet_deeper,adam,5.52817402812622E-05,0.3,4.24029452673503E-05,relu,binary_crossentropy,0.6,0.296390771865845
