number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,0.28330084681510925,2024-09-27 00:18:23.194732,2024-09-27 00:23:35.679203,0 days 00:05:12.484471,relu,0.4,2.4179259464574937e-05,0.007843053821341886,dice_loss,Unet,0.6000000000000001,sgd,COMPLETE
1,14729022.0,2024-09-27 00:23:35.679822,2024-09-27 00:26:07.165265,0 days 00:02:31.485443,leaky_relu,0.30000000000000004,0.018630256402465115,0.008524352096826946,binary_crossentropy,Unet_deep,0.4,adam,COMPLETE
2,1.0434805839440118e+18,2024-09-27 00:26:07.165805,2024-09-27 00:27:38.021815,0 days 00:01:30.856010,leaky_relu,0.1,0.014278503740067594,0.0428670112921049,binary_crossentropy,Unet_simple,0.4,adam,COMPLETE
3,3.4582459926605225,2024-09-27 00:27:38.022375,2024-09-27 00:32:26.407181,0 days 00:04:48.384806,relu,0.30000000000000004,0.0008829911753399709,0.0002298177883403505,dice_loss,Unet_deeper,0.30000000000000004,sgd,COMPLETE
4,0.474892258644104,2024-09-27 00:32:26.407728,2024-09-27 00:37:16.642829,0 days 00:04:50.235101,leaky_relu,0.4,0.0005080349870696682,0.00018298827122678425,dice_loss,Unet,0.1,adam,COMPLETE
5,54.3564567565918,2024-09-27 00:37:16.643384,2024-09-27 00:42:02.896157,0 days 00:04:46.252773,leaky_relu,0.15000000000000002,0.02228124320891807,0.0008143133305266566,dice_loss,Unet,0.8,sgd,COMPLETE
6,21967390375936.0,2024-09-27 00:42:02.896713,2024-09-27 00:43:33.187744,0 days 00:01:30.291031,leaky_relu,0.35,5.369066905508013e-05,0.03335456989457698,binary_crossentropy,Unet_deeper,0.7000000000000001,adam,COMPLETE
7,16.189218521118164,2024-09-27 00:43:33.188308,2024-09-27 00:48:43.141966,0 days 00:05:09.953658,relu,0.1,0.06656738305148005,0.00012744966908333436,dice_loss,Unet_simple,0.30000000000000004,adam,COMPLETE
8,34.36922073364258,2024-09-27 00:48:43.142538,2024-09-27 00:53:32.026713,0 days 00:04:48.884175,leaky_relu,0.35,0.012057712960119418,9.111542376699976e-05,binary_crossentropy,Unet_simple,0.4,sgd,COMPLETE
9,0.3490285277366638,2024-09-27 00:53:32.027295,2024-09-27 00:58:20.690021,0 days 00:04:48.662726,relu,0.25,0.0001324877900989816,0.00010891249195409922,dice_loss,Unet_wide,0.6000000000000001,rmsprop,COMPLETE
10,0.02779986336827278,2024-09-27 00:58:20.690578,2024-09-27 01:03:01.630307,0 days 00:04:40.939729,relu,0.2,1.3696385037905585e-05,0.004048243134698113,dice_loss,Unet,0.6000000000000001,rmsprop,COMPLETE
11,1.0245143175125122,2024-09-27 01:03:01.630873,2024-09-27 01:08:18.591032,0 days 00:05:16.960159,relu,0.2,1.1754156871150272e-05,0.004186627126723972,dice_loss,Unet,0.9,rmsprop,COMPLETE
12,0.024528780952095985,2024-09-27 01:08:18.591599,2024-09-27 01:12:59.984549,0 days 00:04:41.392950,relu,0.2,1.0136142359260301e-05,0.0029290675175485978,dice_loss,Unet,0.6000000000000001,rmsprop,COMPLETE
13,0.8813562989234924,2024-09-27 01:12:59.985108,2024-09-27 01:17:48.474764,0 days 00:04:48.489656,relu,0.2,0.00013790051565702583,1.24924576255346e-05,dice_loss,Unet,0.6000000000000001,rmsprop,COMPLETE
14,1.027293086051941,2024-09-27 01:17:48.475346,2024-09-27 01:22:38.529909,0 days 00:04:50.054563,relu,0.2,1.0975383649753705e-05,0.001648805787601893,dice_loss,Unet_wide,0.7000000000000001,rmsprop,COMPLETE
15,1.0882880687713623,2024-09-27 01:22:38.530555,2024-09-27 01:27:27.770049,0 days 00:04:49.239494,relu,0.15000000000000002,4.585327334635586e-05,0.0012067531023216235,dice_loss,Unet_deep,0.0,rmsprop,COMPLETE
16,0.003571034874767065,2024-09-27 01:27:27.770633,2024-09-27 01:32:03.757141,0 days 00:04:35.986508,relu,0.25,0.00023176010811729224,0.015566271428430268,dice_loss,Unet,0.9,rmsprop,COMPLETE
17,0.8758203387260437,2024-09-27 01:32:03.757723,2024-09-27 01:35:27.732731,0 days 00:03:23.975008,relu,0.25,0.0022249818381260395,0.07019016483838803,dice_loss,Unet,0.9,rmsprop,COMPLETE
18,0.003520069643855095,2024-09-27 01:35:27.733306,2024-09-27 01:40:06.829943,0 days 00:04:39.096637,relu,0.30000000000000004,0.0002852580199518313,0.012526082359562025,binary_crossentropy,Unet,0.8,rmsprop,COMPLETE
19,0.003454335732385516,2024-09-27 01:40:06.830514,2024-09-27 01:44:50.556110,0 days 00:04:43.725596,relu,0.30000000000000004,0.0002919763434187165,0.01892460648257284,binary_crossentropy,Unet_wide,0.9,rmsprop,COMPLETE
