number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,6.070806980133057,2024-08-29 11:39:54.193771,2024-08-29 11:50:05.365291,0 days 00:10:11.171520,relu,0.30000000000000004,0.005848866962733728,0.00010852110889093192,binary_crossentropy,Unet,0.30000000000000004,adam,COMPLETE
1,1.0073034763336182,2024-08-29 11:50:05.366113,2024-08-29 11:52:04.885243,0 days 00:01:59.519130,relu,0.35,0.010092352021045435,0.039963051881210576,dice_loss,Unet_shallow,0.6000000000000001,rmsprop,COMPLETE
2,37.21302032470703,2024-08-29 11:52:04.887001,2024-08-29 12:02:41.851449,0 days 00:10:36.964448,leaky_relu,0.1,0.013816036329780082,0.001925218918319415,binary_crossentropy,Unet_simple,0.4,sgd,COMPLETE
3,18.725440979003906,2024-08-29 12:02:41.851986,2024-08-29 12:11:13.915518,0 days 00:08:32.063532,relu,0.35,0.03446443606444052,0.00013910115198534587,binary_crossentropy,Unet,0.7000000000000001,rmsprop,COMPLETE
4,0.9231781363487244,2024-08-29 12:11:13.916215,2024-08-29 12:17:17.378110,0 days 00:06:03.461895,relu,0.25,0.01284871556646541,0.008660103659855188,dice_loss,Unet_simple,0.9,rmsprop,COMPLETE
5,3.5885071754455566,2024-08-29 12:17:17.378606,2024-08-29 12:19:03.174521,0 days 00:01:45.795915,relu,0.35,0.07429289350824664,0.012698201016203453,binary_crossentropy,Unet_deeper,0.4,rmsprop,COMPLETE
6,0.9232504367828369,2024-08-29 12:19:03.176379,2024-08-29 12:27:37.686835,0 days 00:08:34.510456,leaky_relu,0.1,7.338628483128248e-05,0.0036529127073160637,dice_loss,Unet_simple,0.7000000000000001,adam,COMPLETE
7,93.34024047851562,2024-08-29 12:27:37.688831,2024-08-29 12:33:22.649061,0 days 00:05:44.960230,leaky_relu,0.1,0.08172382668296654,3.192005595791768e-05,binary_crossentropy,Unet_shallow,0.1,rmsprop,COMPLETE
8,2.183103322982788,2024-08-29 12:33:22.650857,2024-08-29 12:38:11.278021,0 days 00:04:48.627164,relu,0.25,0.00021366338658346162,5.74355501065474e-05,dice_loss,Unet_wide,0.4,sgd,COMPLETE
9,1.9547427892684937,2024-08-29 12:38:11.278475,2024-08-29 12:42:50.045436,0 days 00:04:38.766961,leaky_relu,0.4,0.0007379135835661479,0.029226960440853923,dice_loss,Unet_shallow,0.5,sgd,COMPLETE
