number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,0.16813144087791443,2024-09-27 13:46:19.541669,2024-09-27 13:52:10.396041,0 days 00:05:50.854372,leaky_relu,0.2,5.9088064610783325e-05,0.0001551216071041257,dice_loss,Unet_deeper,0.8,rmsprop,COMPLETE
1,37.42466354370117,2024-09-27 13:52:10.396674,2024-09-27 13:56:54.023919,0 days 00:04:43.627245,leaky_relu,0.2,0.012814319208534647,0.00031985905314726396,dice_loss,Unet_deeper,0.7000000000000001,sgd,COMPLETE
2,2.220452070236206,2024-09-27 13:56:54.024484,2024-09-27 14:02:44.757333,0 days 00:05:50.732849,leaky_relu,0.35,0.0004974731019130014,0.0003093131273431533,dice_loss,Unet_deep,0.1,sgd,COMPLETE
3,0.9468129873275757,2024-09-27 14:02:44.757906,2024-09-27 14:07:33.731855,0 days 00:04:48.973949,relu,0.35,4.881480176032616e-05,0.00010691794319832495,dice_loss,Unet_deep,0.9,sgd,COMPLETE
4,1.5767524242401123,2024-09-27 14:07:33.732432,2024-09-27 14:12:19.574171,0 days 00:04:45.841739,relu,0.15000000000000002,0.000630054333071864,3.32108513760038e-05,binary_crossentropy,Unet_simple,0.0,rmsprop,COMPLETE
5,0.07171332836151123,2024-09-27 14:12:19.574750,2024-09-27 14:17:08.111847,0 days 00:04:48.537097,leaky_relu,0.15000000000000002,0.0003138956052069453,0.0007766294356284001,dice_loss,Unet_deep,0.1,adam,COMPLETE
6,0.8499069213867188,2024-09-27 14:17:08.114027,2024-09-27 14:21:55.617603,0 days 00:04:47.503576,leaky_relu,0.15000000000000002,0.00032173357628388594,5.168832599497484e-05,dice_loss,Unet_wide,0.4,rmsprop,COMPLETE
7,2.735827684402466,2024-09-27 14:21:55.618181,2024-09-27 14:26:43.711603,0 days 00:04:48.093422,leaky_relu,0.15000000000000002,0.0011279391377045757,0.06118672272334634,dice_loss,Unet_deep,0.0,sgd,COMPLETE
8,0.059931833297014236,2024-09-27 14:26:43.712172,2024-09-27 14:31:33.213538,0 days 00:04:49.501366,leaky_relu,0.4,3.0163539556398037e-05,0.0004951873129457451,dice_loss,Unet_deep,0.4,adam,COMPLETE
9,0.875819981098175,2024-09-27 14:31:33.215486,2024-09-27 14:34:56.763864,0 days 00:03:23.548378,relu,0.1,0.0037830755746433757,0.05031926883505504,dice_loss,Unet_deep,0.8,adam,COMPLETE
10,0.02121516317129135,2024-09-27 14:34:56.764465,2024-09-27 14:40:02.175056,0 days 00:05:05.410591,relu,0.4,1.2305859829889668e-05,0.005580092222514553,binary_crossentropy,Unet,0.4,adam,COMPLETE
11,0.018768154084682465,2024-09-27 14:40:02.175631,2024-09-27 14:44:39.850576,0 days 00:04:37.674945,relu,0.4,1.1085870228731042e-05,0.005919854251684482,binary_crossentropy,Unet,0.4,adam,COMPLETE
12,0.006517170462757349,2024-09-27 14:44:39.851147,2024-09-27 14:49:24.642413,0 days 00:04:44.791266,relu,0.4,1.0946631414474588e-05,0.006498825070556607,binary_crossentropy,Unet,0.5,adam,COMPLETE
13,0.01849583350121975,2024-09-27 14:49:24.642995,2024-09-27 14:54:09.884672,0 days 00:04:45.241677,relu,0.30000000000000004,1.4446775583394222e-05,0.005160950817277002,binary_crossentropy,Unet,0.6000000000000001,adam,COMPLETE
14,0.14516818523406982,2024-09-27 14:54:09.886541,2024-09-27 14:58:52.829805,0 days 00:04:42.943264,relu,0.30000000000000004,0.00010395240796018561,0.006442850531299731,binary_crossentropy,Unet,0.6000000000000001,adam,COMPLETE
15,0.15092983841896057,2024-09-27 14:58:52.831666,2024-09-27 15:03:41.079833,0 days 00:04:48.248167,relu,0.30000000000000004,0.09467350584351467,0.0019536708087540054,binary_crossentropy,Unet,0.6000000000000001,adam,COMPLETE
16,0.06537303328514099,2024-09-27 15:03:41.080426,2024-09-27 15:08:19.044538,0 days 00:04:37.964112,relu,0.30000000000000004,1.0442988549552256e-05,0.020013577455902373,binary_crossentropy,Unet,0.6000000000000001,adam,COMPLETE
17,0.508597731590271,2024-09-27 15:08:19.045131,2024-09-27 15:13:07.101729,0 days 00:04:48.056598,relu,0.25,0.00015806391916857484,1.0598083479275568e-05,binary_crossentropy,Unet_simple,0.2,adam,COMPLETE
18,0.030468203127384186,2024-09-27 15:13:07.102316,2024-09-27 15:17:57.460699,0 days 00:04:50.358383,relu,0.35,2.8592912529618004e-05,0.0017293877039754315,binary_crossentropy,Unet_wide,0.5,adam,COMPLETE
19,0.0181301049888134,2024-09-27 15:17:57.461296,2024-09-27 15:22:45.927157,0 days 00:04:48.465861,relu,0.25,0.0034668704840211755,0.018750649642371442,binary_crossentropy,Unet,0.30000000000000004,rmsprop,COMPLETE
