number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_optimizer,state
0,0.15772086381912231,2024-08-25 22:27:38.721393,2024-08-25 22:52:38.695153,0 days 00:24:59.973760,leaky_relu,0.10883221523314025,0.0001972783432403668,0.0004062267122779502,binary_crossentropy,Unet_wide,adam,COMPLETE
1,0.2274826020002365,2024-08-25 22:52:38.695992,2024-08-25 23:03:45.499958,0 days 00:11:06.803966,relu,0.17361348098283896,2.9447144478325474e-05,0.001885402335995084,binary_crossentropy,Unet_wide,adam,COMPLETE
2,19.72750473022461,2024-08-25 23:03:45.500891,2024-08-25 23:06:22.303671,0 days 00:02:36.802780,relu,0.13846960201554515,0.0042886364644041395,0.008564217407888047,binary_crossentropy,Unet_wide,adam,COMPLETE
3,0.6043757200241089,2024-08-25 23:06:22.304430,2024-08-25 23:14:14.519985,0 days 00:07:52.215555,leaky_relu,0.22751893759100003,8.093546437460135e-05,6.755377611078037e-05,binary_crossentropy,Unet_wide,rmsprop,COMPLETE
4,1.0737859010696411,2024-08-25 23:14:14.520766,2024-08-25 23:38:42.041263,0 days 00:24:27.520497,relu,0.2413766235606254,0.03389933050945482,4.0949310319529524e-05,binary_crossentropy,Unet_wide,rmsprop,COMPLETE
5,1.297560691833496,2024-08-25 23:38:42.042093,2024-08-26 00:03:26.226525,0 days 00:24:44.184432,leaky_relu,0.18582227231712856,0.0020933711263401667,2.370889943796214e-05,binary_crossentropy,Unet_wide,rmsprop,COMPLETE
6,0.1723635196685791,2024-08-26 00:03:26.227217,2024-08-26 00:27:12.945836,0 days 00:23:46.718619,relu,0.19535783331282625,1.7241677489034647e-05,0.0051893348141879535,binary_crossentropy,Unet_wide,adam,COMPLETE
7,0.6208339929580688,2024-08-26 00:27:12.946667,2024-08-26 00:51:09.878181,0 days 00:23:56.931514,relu,0.22113025066974168,0.00022875212105908396,0.002852135462370463,binary_crossentropy,Unet_wide,adam,COMPLETE
